总字数为169302 亿万斯年 共有7章 
1    的         5126  5126 
2    了         3917  7834 
3    她         2318  6954 
4    苏格        2238  8952 
5    他         2016 10080 
6    孟斯年       1860 11160 
7    你         1810 12670 
8    我         1669 13352 
9    说         1088  9792 
10   在         1073 10730 
11   是         1065 11715 
12   着         946  11352 
13   不         710   9230 
14   看         647   9058 
15   就         616   9240 
16   没         575   9200 
17   也         565   9605 
18   地         563  10134 
19   和         481   9139 
20   都         463   9260 
21   去         444   9324 
22   又         434   9548 
23   什么        427   9821 
24   吗         425  10200 
25   这         408  10200 
26   还         407  10582 
27   到         393  10611 
28   人         384  10752 
29   :         374  10846 
30   上         369  11070 
31   有         360  11160 
32   给         357  11424 
33   …         350  11550 
34   想         339  11526 
35   走         298  10430 
36   那         295  10620 
37   让         292  10804 
38   将         282  10716 
39   得         276  10764 
40   自己        274  10960 
41   知道        266  10906 
42   对         261  10962 
43   萧树        261  11223 
44   突然        257  11308 
45   看着        251  11295 
46   吧         251  11546 
47   一个        246  11562 
48   好         239  11472 
49   来         235  11515 
50   觉得        233  11650 
51   啊         233  11883 
52   格格        227  11804 
53   孟         227  12031 
54   要         224  12096 
55   说话        224  12320 
56   很         223  12488 
57   后         221  12597 
58   怎么        221  12818 
59   笑         220  12980 
60   把         218  13080 
61   从         214  13054 
62   一下        210  13020 
63   没有        207  13041 
64   这么        207  13248 
65   华灵        204  13260 
66   夫人        201  13266 
67   问         200  13400 
68   喜欢        195  13260 
69   被         191  13179 
70   会         191  13370 
71   不是        186  13206 
72   个         181  13032 
73   呢         180  13140 
74   他们        180  13320 
75   这个        178  13350 
76   程蓝        178  13528 
77   里         177  13629 
78   拿         175  13650 
79   我们        172  13588 
80   见         166  13280 
81   听         166  13446 
82   时         165  13530 
83   下         162  13446 
84   再         160  13440 
85   眼睛        157  13345 
86   时候        157  13502 
87   道         155  13485 
88   因为        153  13464 
89   谁         153  13617 
90   跟         152  13680 
91   手机        148  13468 
92   才         146  13432 
93   两人        146  13578 
94   中         145  13630 
95   濠         145  13775 
96   出来        140  13440 
97   还是        140  13580 
98   那个        139  13622 
99   苏天        138  13662 
100  过         136  13600 
101  老爷子       136  13736 
102  声音        134  13668 
103  苏         134  13802 
104  似乎        133  13832 
105  起来        132  13860 
106  叔叔        132  13992 
107  多         131  14017 
108  叫         130  14040 
109  已经        129  14061 
110  一眼        129  14190 
111  听到        129  14319 
112  站         128  14336 
113  却         125  14125 
114  你们        123  14022 
115  但         121  13915 
116  —         120  13920 
117  等         119  13923 
118  向         117  13806 
119  然后        117  13923 
120  一声        114  13680 
121  只         113  13673 
122  能         112  13664 
123  样子        111  13653 
124  可以        110  13640 
125  过来        110  13750 
126  立刻        107  13482 
127  做         107  13589 
128  一         106  13568 
129  女孩        105  13545 
130  电话        105  13650 
131  过去        105  13755 
132  大         104  13728 
133  坐         103  13699 
134  手         103  13802 
135  回来        103  13905 
136  并         102  13872 
137  与         102  13974 
138  看到        102  14076 
139  魏澜姗       101  14039 
140  就是        98   13720 
141  所以        96   13536 
142  说完        96   13632 
143  蓝         95   13585 
144  、         94   13536 
145  找         94   13630 
146  小         94   13724 
147  华         94   13818 
148  见到        91   13468 
149  还有        91   13559 
150  事         91   13650 
151  江染        90   13590 
152  这样        89   13528 
153  爷爷        89   13617 
154  一直        89   13706 
155  一样        88   13640 
156  妈妈        87   13572 
157  真的        86   13502 
158  小提琴       86   13588 
159  带         85   13515 
160  跟着        85   13600 
161  嗯         85   13685 
162  穗         85   13770 
163  您         84   13692 
164  有点        84   13776 
165  吃         84   13860 
166  送         83   13778 
167  有些        82   13694 
168  呀         82   13776 
169  伸手        82   13858 
170  老板        80   13600 
171  只是        80   13680 
172  车子        79   13588 
173  为什么       79   13667 
174  比         78   13572 
175  话         78   13650 
176  帮         78   13728 
177  现在        77   13629 
178  一起        77   13706 
179  像         76   13604 
180  其实        76   13680 
181  不过        74   13394 
182  回头        74   13468 
183  不想        74   13542 
184  手里        71   13064 
185  挺         71   13135 
186  跑         70   13020 
187  是不是       70   13090 
188  用         70   13160 
189  离开        69   13041 
190  回去        69   13110 
191  不会        69   13179 
192  打         69   13248 
193  沙发        69   13317 
194  的话        68   13192 
195  老师        68   13260 
196  公司        67   13132 
197  今天        66   13002 
198  忙         66   13068 
199  随即        65   12935 
200  以为        65   13000 
201  阿玉        65   13065 
202  不要        64   12928 
203  低头        64   12992 
204  音乐        64   13056 
205  写         64   13120 
206  真         64   13184 
207  便         63   13041 
208  感觉        63   13104 
209  瞪         63   13167 
210  起         63   13230 
211  开始        62   13082 
212  像是        62   13144 
213  起身        62   13206 
214  坐在        62   13268 
215  抱         62   13330 
216  寝室        62   13392 
217  几个        62   13454 
218  电梯        62   13516 
219  更         61   13359 
220  发现        61   13420 
221  时间        61   13481 
222  继续        61   13542 
223  钢琴        61   13603 
224  ......    61   13664 
225  门口        60   13500 
226  非常        59   13334 
227  刚         59   13393 
228  脸         59   13452 
229  小姑娘       59   13511 
230  斯文        59   13570 
231  旁边        58   13398 
232  前         58   13456 
233  视线        58   13514 
234  半晌        58   13572 
235  直接        58   13630 
236  再次        57   13452 
237  身上        57   13509 
238  蔡子        57   13566 
239  两个        56   13384 
240  准备        56   13440 
241  回         56   13496 
242  乐队        56   13552 
243  它         56   13608 
244  败类        56   13664 
245  孟先生       55   13475 
246  开门        54   13284 
247  倒         54   13338 
248  那么        54   13392 
249  买         54   13446 
250  卓悦        54   13500 
251  靠         53   13303 
252  女人        53   13356 
253  边         53   13409 
254  头         53   13462 
255  完         53   13515 
256  点         53   13568 
257  神色        53   13621 
258  开         52   13416 
259  那边        52   13468 
260  出去        52   13520 
261  《         52   13572 
262  》         52   13624 
263  太         51   13413 
264  那些        51   13464 
265  大家        51   13515 
266  地道        51   13566 
267  仿佛        51   13617 
268  ....      51   13668 
269  烟         50   13450 
270  有人        50   13500 
271  曲子        50   13550 
272  转身        50   13600 
273  别人        50   13650 
274  应该        50   13700 
275  东西        50   13750 
276  可爱        50   13800 
277  下来        49   13573 
278  口气        49   13622 
279  看起来       48   13392 
280  哦         48   13440 
281  刚才        48   13488 
282  .....     48   13536 
283  那天        47   13301 
284  医生        47   13348 
285  依旧        46   13110 
286  而         46   13156 
287  很多        46   13202 
288  别         46   13248 
289  先         46   13294 
290  竟然        46   13340 
291  进去        46   13386 
292  一句        46   13432 
293  喝         46   13478 
294  门         45   13230 
295  穿         45   13275 
296  头发        45   13320 
297  之前        45   13365 
298  朋友        45   13410 
299  可能        45   13455 
300  当         45   13500 
301  以后        45   13545 
302  出         45   13590 
303  楼下        45   13635 
304  传来        44   13376 
305  不用        44   13420 
306  回答        44   13464 
307  特别        44   13508 
308  眼神        44   13552 
309  高兴        44   13596 
310  问题        43   13330 
311  不能        43   13373 
312  脸上        43   13416 
313  进来        43   13459 
314  如果        43   13502 
315  亲         43   13545 
316  Yoko      43   13588 
317  外面        42   13314 
318  完全        42   13356 
319  微微        42   13398 
320  确实        42   13440 
321  需要        42   13482 
322  衣服        42   13524 
323  面前        42   13566 
324  回到        42   13608 
325  句         42   13650 
326  几人        42   13692 
327  房间        42   13734 
328  关河        42   13776 
329  车         41   13489 
330  手指        41   13530 
331  喊         41   13571 
332  虽然        41   13612 
333  只有        41   13653 
334  一会儿       41   13694 
335  俩         41   13735 
336  可         41   13776 
337  连         40   13480 
338  后来        40   13520 
339  关系        40   13560 
340  玩         40   13600 
341  嘴角        40   13640 
342  睡         40   13680 
343  意思        40   13720 
344  学校        40   13760 
345  没想到       40   13800 
346  这儿        40   13840 
347  些         40   13880 
348  照片        40   13920 
349  一旁        40   13960 
350  许寒城       40   14000 
351  腿         39   13689 
352  抬头        39   13728 
353  字         39   13767 
354  认识        39   13806 
355  保安        39   13845 
356  阿姨        39   13884 
357  狗         39   13923 
358  抬         38   13604 
359  想着        38   13642 
360  名字        38   13680 
