总字数为733605 红楼梦 共有12章 
1    了         2024020240 
2    的         1379127582 
3    我         7522 22566 
4    道         6331 25324 
5    是         5998 29990 
6    你         5990 35940 
7    说         5911 41377 
8    也         5887 47096 
9    又         5146 46314 
10   着         3944 39440 
11   去         3785 41635 
12   宝玉        3782 45384 
13   来         3504 45552 
14   他         3316 46424 
15   不         3278 49170 
16   她         3248 51968 
17   便         3224 54808 
18   人         2982 53676 
19   在         2929 55651 
20   、         2927 58540 
21   这         2743 57603 
22   有         2667 58674 
23   都         2639 60697 
24   就         2502 60048 
25   笑         2446 61150 
26   叫         1977 51402 
27   呢         1826 49302 
28   听         1801 50428 
29   等         1687 48923 
30   那         1665 49950 
31   什么        1621 50251 
32   还         1583 50656 
33   好         1545 50985 
34   要         1538 52292 
35   一个        1450 50750 
36   得         1424 51264 
37   见         1406 52022 
38   只         1342 50996 
39   贾母        1286 50154 
40   上         1232 49280 
41   我们        1227 50307 
42   和         1226 51492 
43   到         1145 49235 
44   才         1128 49632 
45   倒         1096 49320 
46   ‘         1094 50324 
47   ’         1075 50525 
48   王夫人       1058 50784 
49   忙         1024 50176 
50   你们        1008 50400 
51   如今        1007 51357 
52   说道        984  51168 
53   老太太       978  51834 
54   凤姐        978  52812 
55   们         976  53680 
56   知道        970  54320 
57   把         969  55233 
58   与         957  55506 
59   起来        953  56227 
60   姑娘        952  57120 
61   罢         947  57767 
62   吃         947  58714 
63   这里        946  59598 
64   个         943  60352 
65   将         930  60450 
66   出来        930  61380 
67   再         910  60970 
68   问         901  61268 
69   给         895  61755 
70   众人        872  61040 
71   那里        868  61628 
72   奶奶        852  61344 
73   看         843  61539 
74   自己        840  62160 
75   因         835  62625 
76   太太        830  63080 
77   一面        826  63602 
78   拿         821  64038 
79   事         815  64385 
80   儿         807  64560 
81   只见        797  64557 
82   ；         784  64288 
83   两个        776  64408 
84   没有        773  64932 
85   怎么        765  65025 
86   没         751  64586 
87   不是        736  64032 
88   若         731  64328 
89   走         712  63368 
90   一         711  63990 
91   不知        704  64064 
92   这个        693  63756 
93   请         691  64263 
94   听见        691  64954 
95   贾琏        666  63270 
96   这样        651  62496 
97   谁         638  61886 
98   进来        635  62230 
99   大         621  61479 
100  咱们        609  60900 
101  就是        603  60903 
102  袭         602  61404 
103  告诉        600  61800 
104  东西        599  62296 
105  平儿        599  62895 
106  话         590  62540 
107  为         588  62916 
108  想         584  63072 
109  坐         571  62239 
110  回来        566  62260 
111  过         559  62049 
112  只是        547  61264 
113  大家        547  61811 
114  黛玉        533  60762 
115  老爷        532  61180 
116  里         531  61596 
117  只得        531  62127 
118  宝钗        528  62304 
119  下         525  62475 
120  却         520  62400 
121  丫头        515  62315 
122  这些        506  61732 
123  他们        502  61746 
124  并         499  61876 
125  些         497  62125 
126  不敢        495  62370 
127  出去        488  61976 
128  之         471  60288 
129  至         470  60630 
130  所以        470  61100 
131  已         463  60653 
132  家         455  60060 
133  薛姨妈       455  60515 
134  凤姐儿       454  60836 
135  送         453  61155 
136  不过        452  61472 
137  姐姐        442  60554 
138  可         439  60582 
139  不好        438  60882 
140  探春        437  61180 
141  的话        437  61617 
142  打         434  61628 
143  做         430  61490 
144  一时        429  61776 
145  月         428  62060 
146  回         426  62196 
147  鸳鸯        423  62181 
148  过来        422  62456 
149  不能        416  61984 
150  虽         415  62250 
151  带         414  62514 
152  二         413  62776 
153  心里        408  62424 
154  且         404  62216 
155  二爷        400  62000 
156  死         397  61932 
157  她们        397  62329 
158  李         397  62726 
159  瞧         396  62964 
160  如此        375  60000 
161  中         374  60214 
162  纨         372  60264 
163  银子        369  60147 
164  今日        367  60188 
165  小         361  59565 
166  二人        359  59594 
167  答应        359  59953 
168  这么        357  59976 
169  几个        356  60164 
170  还有        355  60350 
171  皆         350  59850 
172  只管        350  60200 
173  从         349  60377 
174  比         347  60378 
175  更         345  60375 
176  哭         345  60720 
177  既         344  60888 
178  说话        342  60876 
179  连         338  60502 
180  作         338  60840 
181  向         337  60997 
182  晴雯        336  61152 
183  时         335  61305 
184  那边        333  61272 
185  湘云        332  61420 
186  竟         328  61008 
187  这话        324  60588 
188  一回        324  60912 
189  出         322  60858 
190  找         322  61180 
191  多         321  61311 
192  么         321  61632 
193  贾政        318  61374 
194  往         316  61304 
195  子         315  61425 
196  外头        315  61740 
197  自然        311  61267 
198  打发        311  61578 
199  哪里        308  61292 
200  今儿        306  61200 
201  袭人        306  61506 
202  茶         304  61408 
203  亦         303  61509 
204  罢了        301  61404 
205  快         299  61295 
206  先         296  60976 
207  该         295  61065 
208  那些        293  60944 
209  听说        291  60819 
210  屋里        290  60900 
211  住         288  60768 
212  刘姥姥       288  61056 
213  或         287  61131 
214  邢夫人       287  61418 
215  问道        286  61490 
216  小丫头       286  61776 
217  如何        284  61628 
218  钱         283  61694 
219  紫鹃        281  61539 
220  看见        280  61600 
221  让         278  61438 
222  贾珍        276  61272 
223  起         276  61548 
224  无         269  60256 
225  人家        268  60300 
226  媳妇        268  60568 
227  不得        268  60836 
228  内         266  60648 
229  不用        266  60914 
230  香菱        264  60720 
231  妹妹        263  60753 
232  睡         263  61016 
233  尤氏        263  61279 
234  被         260  60840 
235  姊妹        259  60865 
236  《         258  60888 
237  》         258  61146 
238  后         258  61404 
239  一声        257  61423 
240  家里        257  61680 
241  原来        256  61696 
242  一句        253  61226 
243  怕         251  60993 
244  这会子       251  61244 
245  闹         250  61250 
246  命         249  61254 
247  正         246  60762 
248  岂         244  60512 
249  替         244  60756 
250  到底        242  60500 
251  麝         242  60742 
252  完         239  60228 
253  过去        238  60214 
254  进去        238  60452 
255  别人        238  60690 
256  回去        235  60160 
257  用         234  60138 
258  但         233  60114 
259  连忙        233  60347 
260  还是        231  60060 
261  劝         231  60291 
262  跟         230  60260 
263  方才        230  60490 
264  心中        229  60456 
265  明儿        229  60685 
266  使         226  60116 
267  婆子        225  60075 
268  站         225  60300 
269  而         224  60256 
270  别         224  60480 
271  丫鬟        223  60433 
272  里头        223  60656 
273  不成        222  60606 
274  只有        221  60554 
275  哥哥        221  60775 
276  很         221  60996 
277  小厮        220  60940 
278  身上        219  60882 
279  明白        218  60822 
280  一件        218  61040 
281  起身        217  60977 
282  有人        217  61194 
283  跑         216  61128 
284  一日        214  60776 
285  病         213  60705 
286  心         213  60918 
287  于是        212  60844 
288  字         211  60768 
289  果然        211  60979 
290  遂         210  60900 
291  已经        210  61110 
292  怎么样       209  61028 
293  早         208  60944 
294  写         208  61152 
295  瞧瞧        208  61360 
296  有些        206  60976 
297  林黛玉       206  61182 
298  跟前        204  60792 
299  谁知        202  60398 
300  像         197  59100 
301  骂         196  58996 
302  越发        196  59192 
303  不肯        192  58176 
304  只怕        192  58368 
305  薛蟠        192  58560 
306  难道        192  58752 
307  主意        192  58944 
308  不必        191  58828 
309  喜欢        191  59019 
310  拉         188  58280 
311  那个        188  58468 
312  不如        187  58344 
313  头         187  58531 
314  吩咐        187  58718 
315  贾赦        186  58590 
316  好些        185  58460 
317  况且        184  58328 
318  母亲        183  58194 
319  便是        182  58058 
320  众         181  57920 
321  不要        181  58101 
322  此时        181  58282 
323  一处        178  57494 
324  因此        176  57024 
325  弄         176  57200 
326  上来        174  56724 
327  不见        172  56244 
328  仍         170  55760 
329  看着        169  55601 
330  三         168  55440 
331  素日        168  55608 
332  同         167  55444 
333  女儿        167  55611 
334  一样        167  55778 
335  贾政道       167  55945 
336  忘         166  55776 
337  放心        166  55942 
338  想着        166  56108 
339  自         165  55935 
340  人来        165  56100 
341  周瑞家       165  56265 
342  房中        163  55746 
343  气         162  55566 
344  还要        161  55384 
345  喝         160  55200 
346  为什么       160  55360 
347  在家        159  55173 
348  　         158  54984 
349  且说        158  55142 
350  来说        158  55300 
351  不觉        157  55107 
352  别的        155  54560 
353  言语        154  54362 
354  日         153  54162 
355  知         152  53960 
356  贾蓉        151  53756 
357  烟         151  53907 
358  贾芸        151  54058 
359  多少        150  53850 
360  方         150  54000 
361  一会        150  54150 
362  明日        150  54300 
363  想起        150  54450 
364  一般        149  54236 
365  放         149  54385 
366  原         149  54534 
367  手         148  54316 
368  许多        147  54096 
369  偏         146  53874 
370  待         145  53650 
371  然后        145  53795 
372  跟着        145  53940 
373  忽         144  53712 
374  正是        144  53856 
375  对         143  53625 
376  迎春        143  53768 
377  林之孝       143  53911 
378  走来        142  53676 
379  也罢        141  53439 
380  正说        140  53200 
381  依         140  53340 
382  半日        140  53480 
383  奴才        140  53620 
384  后来        139  53376 
385  毕         139  53515 
386  接         138  53268 
387  天天        138  53406 
388  服侍        137  53156 
389  ―         136  52904 
390  打听        135  52650 
391  胡涂        135  52785 
392  酒         135  52920 
393  预备        135  53055 
394  茗         135  53190 
395  点头        134  52930 
396  下来        134  53064 
397  大爷        134  53198 
398  时候        134  53332 
399  回家        133  53067 
400  请安        133  53200 
401  赵姨娘       133  53333 
402  十分        132  53064 
403  贾母笑       132  53196 
404  嫂子        131  52924 
405  坐下        131  53055 
406  似的        130  52780 
407  收拾        130  52910 
408  父亲        129  52632 
409  可是        129  52761 
410  林姑娘       129  52890 
411  房里        129  53019 
412  昨儿        129  53148 
413  看时        128  52864 
414  悄悄的       128  52992 
415  年纪        127  52705 
416  可以        127  52832 
417  生气        127  52959 
418  倘或        127  53086 
419  难         127  53213 
420  外面        126  52920 
421  冷笑        126  53046 
422  疼         126  53172 
423  孩子        125  52875 
424  各自        125  53000 
425  未         125  53125 
426  前         123  52398 
427  敢         123  52521 
428  急         123  52644 
429  散         123  52767 
430  以后        123  52890 
431  一天        123  53013 
432  此         122  52704 
433  不可        122  52826 
434  忽见        122  52948 
435  丢         122  53070 
436  儿子        122  53192 
437  不许        122  53314 
438  薛         122  53436 
439  虽然        121  53119 
440  四         121  53240 
441  前儿        121  53361 
442  玩         120  53040 
443  穿         120  53160 
444  诗         120  53280 
445  反         119  52955 
446  各处        119  53074 
447  意思        119  53193 
448  和尚        118  52864 
449  次日        118  52982 
450  年         117  52650 
451  不曾        117  52767 
452  回头        117  52884 
453  兄弟        117  53001 
454  坐在        117  53118 
455  商议        116  52780 
456  黛玉道       116  52896 
457  衣服        116  53012 
458  原故        115  52670 
459  将来        115  52785 
460  大夫        114  52440 
461  唬         114  52554 
462  爱         113  52206 
463  早已        113  52319 
464  昨日        113  52432 
465  官         113  52545 
466  要紧        113  52658 
467  买         113  52771 
468  宝         113  52884 
469  少不得       112  52528 
470  家人        111  52170 
471  却是        111  52281 
472  里面        111  52392 
473  不管        111  52503 
474  地下        111  52614 
475  花         111  52725 
476  正在        111  52836 
477  真         110  52470 
478  姨太太       110  52580 
479  派         109  52211 
480  如         108  51840 
481  能         108  51948 
482  吃饭        108  52056 
483  甚         107  51681 
484  宝钗道       107  51788 
485  地方        106  51410 
486  其         106  51516 
487  下回分解      106  51622 
488  无人        106  51728 
489  哥儿        106  51834 
490  老婆子       106  51940 
491  那时        105  51555 
492  雨村        105  51660 
493  这边        105  51765 
494  应         105  51870 
495  提         105  51975 
496  园子        105  52080 
497  园里        105  52185 
498  陪         104  51792 
499  欲         104  51896 
500  炕         104  52000 
501  上头        103  51603 
502  愿意        103  51706 
503  捧         102  51306 
504  一夜        102  51408 
505  所         102  51510 
506  进         102  51612 
507  脸         102  51714 
508  宝钗笑       102  51816 
509  园中        102  51918 
510  事情        101  51510 
511  则         100  51100 
512  喜         100  51200 
513  老         100  51300 
514  赶着        100  51400 
515  拣         100  51500 
516  莺         100  51600 
517  林妹妹       99   51183 
518  哄         99   51282 
519  一想        99   51381 
520  各         99   51480 
521  贾环        99   51579 
522  想来        98   51156 
